,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,calendar_last_scraped,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,host_neighbourhood,license,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_listings_count,minimum_maximum_nights,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_value,instant_bookable
51,92%,t,2,3,"['email', 'phone', 'work_email']",t,t,14,2.9,14.0,t,29/12/24,39,0,22/04/13,11/11/24,4.85,4.87,4.85,4.93,,,86,266,29/12/24,329,39,14,14,2.9,14.0,,t,Private room,2,1.0,1 bath,1.0,0,2,,f,2,0,2,0,2.31,2,14,11/11/24,4.85,4.85,4.93,4.81,f
52,96%,t,2,2,"['email', 'phone']",t,t,14,2.0,14.0,t,29/12/24,4,0,23/08/13,08/09/24,4.94,4.97,4.87,4.97,,,0,112,29/12/24,31,4,14,14,2.0,14.0,,t,Private room,2,1.0,1 private bath,1.0,0,2,,t,2,0,2,0,0.22,2,14,08/09/24,4.94,4.87,4.97,4.93,t
53,96%,t,2,2,"['email', 'phone']",t,t,14,2.0,14.0,t,29/12/24,16,0,03/07/17,27/10/24,4.96,4.95,4.96,4.96,,,88,342,29/12/24,83,16,14,14,2.0,14.0,,t,Private room,2,1.0,1 private bath,1.0,0,2,,t,2,0,2,0,0.91,2,14,27/10/24,4.96,4.96,4.96,4.84,t
54,98%,f,14,28,"['email', 'phone']",t,t,999,1.0,999.0,t,29/12/24,42,1,23/07/13,12/12/24,4.36,4.54,4.33,4.73,Downtown,Exempt,81,150,29/12/24,246,42,999,999,1.0,999.0,,t,Private room,2,1.0,1 shared bath,1.0,0,12,Exempt,t,13,0,12,1,1.77,14,999,12/12/24,4.36,4.33,4.73,4.32,t
55,75%,f,1,1,"['email', 'phone', 'work_email']",t,t,21,3.0,21.0,t,29/12/24,3,0,05/08/14,17/08/24,4.96,4.88,4.96,4.96,,,7,92,29/12/24,24,3,21,21,3.0,21.0,,t,Entire home/apt,8,2.0,2 baths,3.0,1,0,,f,1,1,0,0,0.19,1,21,17/08/24,4.96,4.96,4.96,4.83,f
56,98%,f,14,28,"['email', 'phone']",t,t,1125,28.0,1125.0,t,29/12/24,0,0,22/01/14,30/04/21,4.21,4.5,4.25,4.71,Downtown,,90,326,29/12/24,24,0,1125,1125,28.0,1125.0,,t,Shared room,1,1.0,1 shared bath,1.0,0,12,,f,13,0,12,1,0.18,14,1125,30/04/21,4.21,4.25,4.71,4.63,f
57,0%,f,1,1,"['email', 'phone']",t,t,1125,2.1,1125.0,t,29/12/24,0,0,29/06/15,11/08/22,5.0,4.95,4.7,4.95,,,76,165,29/12/24,20,0,1125,1125,2.1,1125.0,,t,Entire home/apt,5,1.0,1 bath,1.0,1,0,,f,1,1,0,0,0.17,1,1125,11/08/22,5.0,4.7,4.95,4.85,f
58,98%,f,14,28,"['email', 'phone']",t,t,999,1.0,999.0,t,29/12/24,8,0,07/08/13,25/10/24,4.22,4.4,4.15,4.53,Downtown,Exempt,39,78,29/12/24,87,8,999,999,1.0,999.0,,t,Private room,2,1.0,1 shared bath,1.0,0,12,Exempt,t,13,0,12,1,0.63,14,999,25/10/24,4.22,4.15,4.53,4.12,t
59,95%,t,1,1,"['email', 'phone']",t,t,60,4.2,60.0,t,29/12/24,37,0,21/07/13,11/11/24,4.95,4.93,4.97,4.98,,,78,349,29/12/24,526,37,60,60,4.2,60.0,,t,Entire home/apt,2,1.0,1 bath,1.0,1,0,,f,1,1,0,0,3.78,1,60,11/11/24,4.95,4.97,4.98,4.94,f
60,100%,f,1,1,"['email', 'phone']",t,t,5,2.0,5.0,t,29/12/24,3,1,21/03/16,30/11/24,4.84,4.88,4.88,4.96,,,0,0,29/12/24,25,3,5,5,2.0,5.0,,t,Entire home/apt,2,,1 bath,1.0,1,0,,f,1,1,0,0,0.23,1,5,30/11/24,4.84,4.88,4.96,4.92,f
61,60%,t,2,2,"['email', 'phone']",t,t,365,5.0,365.0,t,29/12/24,5,1,10/08/16,05/12/24,4.84,4.89,4.86,4.86,,,90,179,29/12/24,142,5,365,365,5.0,365.0,,t,Private room,2,1.0,1 shared bath,1.0,0,2,,f,2,0,2,0,1.39,2,365,05/12/24,4.84,4.86,4.86,4.8,f
62,60%,t,2,2,"['email', 'phone']",t,t,750,30.0,750.0,t,29/12/24,0,0,,,,,,,,,83,263,29/12/24,0,0,750,750,30.0,750.0,,t,Private room,2,1.0,1 shared bath,1.0,0,2,,f,2,0,2,0,,2,750,,,,,,f
63,100%,t,1,1,"['email', 'phone']",t,t,1125,2.9,1125.0,t,29/12/24,20,1,17/04/16,10/12/24,4.85,4.86,4.9,4.92,,,88,234,29/12/24,118,20,1125,1125,2.9,1125.0,,t,Entire home/apt,6,1.0,1 bath,2.0,1,0,,f,1,1,0,0,1.11,1,1125,10/12/24,4.85,4.9,4.92,4.61,f
64,75%,,8,9,"['email', 'phone']",t,t,200,90.0,200.0,t,29/12/24,6,0,09/07/13,01/05/24,4.69,4.8,4.78,4.82,,35089,89,364,29/12/24,564,6,200,200,90.0,200.0,,t,Entire home/apt,2,1.0,1 bath,1.0,3,0,35089,f,3,3,0,0,4.04,8,200,01/05/24,4.69,4.78,4.82,4.73,f
65,91%,t,1,1,"['email', 'phone']",t,t,1125,2.9,1125.0,t,29/12/24,32,0,31/08/13,13/10/24,4.92,4.92,4.89,4.94,,,54,241,29/12/24,327,32,1125,1125,2.9,1125.0,,t,Entire home/apt,7,2.0,2 baths,3.0,1,0,,f,1,1,0,0,2.37,1,1125,13/10/24,4.92,4.89,4.94,4.75,f
